Competency Code,ID,Name,Type,Family,Definition,Division,IsActive
"TECH-INTE-005","cmhrr6in2032jatz005185gs7","Collaboration and Cooperation (Team Capabilities)","TECHNICAL","Internal Audit","A willingness and eagerness to build strong working relationship by collaborating with teams and contributing towards the achievement of a common objective. It includes taking ownership of own task and also supporting others in achieving their tasks","Internal Audit","true"
"TECH-INTE-006","cmhrr6ilw02w6atz0k3x6bs8b","Computer Assisted Auditing Techniques","TECHNICAL","Internal Audit","The ability to use computer assisted auditing tools such Microsoft office and extraction software. This includes the ability to maintain adequate documentation and supporting evidences using the computer assisted auditing tools.","Internal Audit","true"
"TECH-INTE-007","cmhrr6imu031eatz0m39w9jm2","Conflict Management","TECHNICAL","Internal Audit","The ability to identify potential conflict, successfully mediate conflict, confrontations or disagreements between individuals and groups and find a common ground with minimum negative impact.","Internal Audit","true"
"TECH-INTE-008","cmhrr6ilh02tuatz05ts1pyzz","Data Collection and Analysis","TECHNICAL","Internal Audit","The ability to collect data from various relevant sources, sample and analyze audit data trends, correlation, deviation, gaps, average... to report exceptions. It includes the ability to use data mining and analysis tools such as Excel and other applications and apply sampling techniques effectively. It also includes the ability to apply statistical methodology such regression analysis and use benchmarking data adequately.","Internal Audit","true"
"TECH-INTE-009","cmhrr6ike02nratz0t6c6r9qr","Forecasting","TECHNICAL","Internal Audit","The knowledge and ability to review management forecast and predictions. It includes reviewing assumptions and adequacy of various forecasting techniques adopted considering the nature of forecast.","Internal Audit","true"
"TECH-INTE-010","cmhrr6im602xpatz09ht7c1sr","Fraud Investigation","TECHNICAL","Internal Audit","The ability to identify the potential risks associated with various processes and validate the data to check for threats / fraud. It includes the ability to carry out investigations on potential fraud/ threats, carry out special reviews, reconstruct the events and gather evidence to arrive at a conclusion. It is also the understanding of whistle-blowing concepts and techniques and litigation and restructuring process.","Internal Audit","true"
"TECH-INTE-011","cmhrr6il902snatz0g31j5wxf","Governance Risk and Control","TECHNICAL","Internal Audit","Understanding of different auditing standards implemented at OA and in compliance with government requirements and applicable laws. It includes the understanding of the various frameworks and the relevant standards such as IIA, IPPF, ISO, COSO, TQM... Knowledge of and ability to interpret and apply relevant auditing standards, leading practices and methodologies.","Internal Audit","true"
"TECH-INTE-012","cmhrr6ilo02v1atz0stmlrf7g","Information System Audit","TECHNICAL","Internal Audit","Understanding of the ERP application system implemented at OA, the architecture and various modules actively used. The ability to understand the process as they are configured in the application and the controls associated with those processes. Understand the segregation of duties (SoD) matrix and ensure the ERP system is aligned to the SoD matrix. The ability to identify the risks and assess the impact and likelihood of occurrence.","Internal Audit","true"
"TECH-INTE-013","cmhrr6ik702mqatz0uzq3luup","Operational and Management Research","TECHNICAL","Internal Audit","The knowledge of principles, methods, and techniques used to conduct a systematic and objective research; including data collection, analysis and interpretation of data; and the reporting of results.","Internal Audit","true"
"TECH-LEGA-001","cmhrr6iac014vatz08bj5nm7z","Alternative Dispute Resolution","TECHNICAL","Legal & Regulatory","It is the ability to preempt and prevent the occurrence of legal actions / law suits in a contract and resolve the disputes amicably through negotiations, conciliation, settlements or arbitration in the interest of OA's business needs. It is an ability to discuss and convince two-party/multi-party via negotiations  to take appropriate action and reach a mutually satisfactory agreement.","Corporate Support","true"
"TECH-LEGA-002","cmhrr6i9900ztatz0a192x3qq","Corporate Governance","TECHNICAL","Legal & Regulatory","It is the understanding of OA's corporate governance standards including establishing an awareness of different types of stakeholders and their interests. It is the awareness and an understanding of the corporate governance policies and procedures at OA. It includes the skill of drafting as well as reviewing the policies and procedures from an adequacy and effectiveness standpoint.","Corporate Support","true"
"TECH-LEGA-003","cmhrr6i9t012datz0m11jq60r","Documentation and Archiving Legal","TECHNICAL","Legal & Regulatory","It is the skill of maintaining adequate legal documentation and evidences that cover the legal risks of OA. It is the skill of archiving the documents while protecting the confidentiality, integrity and reliability of the legal documents.","Corporate Support","true"
